,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,average_tweets_per_day,account_age_days,description_missing,location_unknown,language_missing,description_length,description_word_count,description_mention_count,description_hashtag_count,description_digit_count,description_exclamation_count,screen_name_length,screen_name_digit_count,screen_name_underscore_count,true_label,screen_name,twitter_id
19924,1,0,1094,634,666,1,23611,0,8.63,2736,0,1,0,112,8,0,0,3,0,9,2,0,bot,Maneerh05,1201545410
24402,1,0,33695,138043,18508,1,13811,1,4.296,3215,0,0,0,150,20,1,2,1,0,13,0,0,human,AssaadRazzouk,401775393
23738,0,0,1133,77,452,0,1590,0,0.452,3516,1,0,1,0,0,0,0,0,0,11,0,1,bot,ZULKUF_USTU,233212321
4464,1,0,112788,2607,161,1,20114,0,7.155,2811,0,0,0,38,9,0,0,0,0,11,0,0,human,ThisNotRuss,995916577
9548,0,0,1270,97347,280,0,16468,1,4.473,3682,1,0,1,0,0,0,0,0,0,15,0,0,human,JandinoAsporaat,168625831
9439,0,0,25,79,365,0,20761,0,5.848,3550,0,0,0,55,8,0,0,0,0,15,0,0,human,fullbloodfaerie,221053911
34734,0,0,4960,1089,689,1,22237,0,5.919,3757,1,0,1,0,0,0,0,0,0,15,0,0,human,alexiisquintana,141014050
17796,0,0,8018,163,1273,0,10663,0,2.695,3957,0,0,0,144,24,0,0,13,2,12,0,0,human,Lynnieelaine,83486947
10696,1,0,697,22,175,0,1229,0,0.886,1387,1,0,1,0,0,0,0,0,0,13,2,0,human,BrendaMears13,793082593029816320
4932,0,0,2633,158,0,1,4131,0,1.224,3374,0,1,0,88,16,0,0,0,0,12,0,2,bot,Mel_Stryder_,304646321
29873,1,0,6554,458,140,1,29936,0,10.799,2772,0,0,0,159,24,0,0,3,0,9,0,1,human,Java_Nick,1093087056
27343,0,0,537,292645,1573,0,55837,1,12.275,4549,0,0,0,103,13,1,0,1,0,10,0,0,human,carlzimmer,14085070
6980,1,0,114,11,0,0,29,0,0.013,2205,0,1,0,57,8,0,0,0,1,8,6,0,bot,632136Hj,2710356091
22744,0,0,2381,15,0,0,2549,0,1.303,1956,0,0,0,99,14,1,0,0,0,11,0,0,bot,RemyJTolnog,3158208077
15013,0,0,460,57,85,0,789,0,0.177,4454,1,0,1,0,0,0,0,0,0,11,0,0,human,mananvaidya,15048091
20388,0,0,657,202,688,1,2103,0,0.507,4144,0,0,0,148,12,0,9,0,0,10,0,0,human,jmpiwtorak,31337959
19839,0,0,27438,51655,5024,1,27498,1,7.792,3529,0,0,0,139,18,0,0,5,0,12,0,1,human,kath_krueger,228990510
10919,0,0,162,53,0,1,872,0,0.214,4072,0,0,0,57,10,1,0,3,0,15,1,0,human,AshleyLawrence5,50932971
24089,0,0,7023,207002,899,1,7069,1,2.365,2989,0,0,0,72,12,1,0,3,0,6,0,0,human,odesza,606770013
35737,0,0,1360,1668,3802,0,1901,0,0.991,1918,0,0,0,135,17,0,1,0,0,13,0,0,human,BigTentNation,3290157143
20603,1,0,2280,147,224,1,1181,0,0.444,2660,0,1,0,36,8,0,0,0,0,9,0,0,human,Livimbxox,1411789771
34028,0,0,1104,103,172,1,3991,0,0.931,4288,0,0,0,119,19,0,0,0,1,15,0,0,human,daisygirlmayzie,17539094
28839,0,0,11776,180,353,0,3644,0,1.466,2485,0,0,0,30,6,0,0,0,0,14,3,0,bot,briannagirl124,2163938346
30186,1,0,3713,186,297,1,1499,0,0.938,1598,0,0,0,57,12,0,0,0,0,9,0,0,human,sampalerr,716873559285436417
566,1,0,1074,1,28,0,1590,0,0.912,1743,1,0,1,0,0,0,0,0,0,7,1,0,bot,Squidv5,4162850356
25735,0,0,22947,1414,827,1,44363,0,19.983,2220,0,0,0,38,7,0,0,0,0,12,1,0,human,1litprincess,2720186326
6759,0,0,34335,3168078,2681,0,120254,1,29.345,4098,0,0,0,123,13,1,1,4,0,5,0,0,human,Boity,43563720
1897,1,0,121,15,0,0,48,0,0.018,2723,0,1,0,59,9,0,0,2,1,11,0,1,bot,av_solution,1245459300
26332,0,0,12959,135342,1008,1,22914,0,7.853,2918,0,0,0,62,8,1,0,2,0,13,0,0,human,DeniseRochaDF,773771359
7778,0,0,15677,112,88,1,4136,0,1.338,3091,0,0,0,30,7,0,0,0,0,12,0,1,human,Miss_Kolette,512546445
27039,0,0,151,25739,1,0,24917,0,6.745,3694,1,1,1,0,0,0,0,0,0,12,0,0,human,erickimphoto,164553682
28491,0,0,12901,1789722,723,1,16726,1,4.737,3531,0,0,0,138,21,0,0,2,0,8,0,0,human,NicoSavi,228264692
16390,1,0,1566,7,68,0,2200,0,0.663,3318,1,1,1,0,0,0,0,0,0,8,0,0,bot,moaixiao,338805366
28723,1,0,1509,136,181,1,2225,0,0.766,2904,0,1,0,40,5,0,2,2,0,9,2,0,human,PClarks12,806031630
2985,0,0,912,14,0,0,1413,0,0.591,2389,1,1,1,0,0,0,0,0,0,15,3,0,bot,ahmedGhoneim102,2324451758
4527,1,0,381,4554,5110,1,1934,0,0.489,3957,0,0,0,150,23,0,2,0,0,5,4,0,human,t9392,83393795
36124,1,0,335,247,682,0,232,0,0.362,641,0,0,0,160,26,0,0,1,0,9,0,0,bot,DustyThom,1063545711877386240
22076,0,0,2285,9,0,0,3246,0,0.78,4164,0,0,0,149,23,0,0,3,0,10,0,0,bot,lolitamoii,26631365
13295,0,0,709,111121,13,1,79421,0,26.194,3032,0,0,0,160,29,0,12,0,0,8,0,0,bot,hawacook,567373425
33400,0,0,2258,828719,667,1,32755,1,7.895,4149,1,1,1,0,0,0,0,0,0,13,0,0,human,marcelorubens,30117765
8564,1,0,19742,521,697,1,17353,0,8.151,2129,0,0,0,138,24,0,0,0,0,14,4,0,human,BeardedMan1975,2838031211
22710,0,0,723,183,0,0,268,0,0.066,4091,0,1,0,47,7,0,0,3,0,9,0,0,bot,feehTenac,45247854
22740,0,0,221,3048,400,1,2033,1,0.504,4032,0,0,0,92,15,0,1,2,0,15,0,0,human,TomReedCongress,63073834
11192,1,0,4331,83976,91749,1,136634,0,47.808,2858,0,0,0,90,5,0,1,6,0,12,2,0,bot,dalewagner38,895562887
22058,1,0,1072,51705,1061,1,5080,0,2.48,2048,0,0,0,111,11,0,4,0,1,10,0,0,human,CBHolsters,2970246239
26181,0,0,104,93722,76792,1,7982,0,2.12,3765,0,0,0,155,20,1,1,0,0,8,2,0,human,skaren17,138071160
29386,0,0,223,145,774,1,236,0,0.106,2229,0,0,0,139,25,1,4,2,0,9,0,0,human,fraginexi,2623742455
21630,0,0,2562,59767,1099,1,10154,1,3.352,3029,0,0,0,117,21,1,0,0,0,7,0,0,human,rkarnad,570576883
33935,1,0,430,26,0,0,74,0,0.024,3072,0,1,0,62,8,0,0,0,0,15,0,0,bot,francescavallin,532389306
28422,0,0,67760,33278,1738,1,12816,0,3.623,3537,0,0,0,139,14,2,0,3,0,14,0,0,bot,DavidSanchezMX,225906700
30947,0,0,11359,988,757,1,10949,0,3.208,3413,0,0,0,141,17,0,0,1,0,12,1,0,human,lcmtvbreath4,282545133
11892,1,0,1419,5,14,0,1904,0,0.77,2473,1,1,1,0,0,0,0,0,0,7,0,0,bot,easyiml,2175878805
5419,1,0,9760,4220,673,0,28210,1,9.375,3009,0,0,0,149,25,0,0,0,0,10,0,0,human,JonahBlank,588551732
31019,0,0,787,261,621,1,973,0,0.43,2264,0,0,0,72,8,1,0,0,0,13,0,0,human,theanyageorge,2554023511
3077,0,0,3097,534348,959,1,11194,1,2.705,4139,0,0,0,90,8,0,0,3,0,15,0,0,human,renataceribelli,33313947
31236,1,0,11735,41,226,1,2298,0,0.68,3380,0,0,0,47,7,0,0,0,0,6,3,0,human,Suz523,301159673
17985,0,0,30,253237,22,0,175708,1,43.288,4059,0,0,0,32,5,0,0,0,0,14,0,1,bot,babnet_Tunisie,55176518
20494,0,0,46,928,5,0,8697,0,4.058,2143,0,1,0,143,23,1,0,0,0,12,0,0,human,MarcoBiotech,2810327237
28449,0,0,504,367,4,0,1301,0,0.98,1327,0,0,0,56,8,0,0,0,0,8,0,0,human,jellifin,814959567717171200
12696,0,0,3121,975,436,1,42223,0,12.842,3288,0,0,0,9,2,0,0,0,0,9,0,0,human,wennnderr,357916018
22764,1,0,1507,14,0,0,2428,0,0.73,3328,0,0,0,2,1,0,0,0,0,8,1,0,human,M8lineHQ,332558087
3977,0,0,19006,100673,1179,1,30208,1,9.224,3275,0,1,0,46,10,0,0,0,0,6,0,0,human,Zaxbys,365456712
26570,1,0,360,55,249,1,730,0,0.204,3572,1,1,1,0,0,0,0,0,0,8,3,0,human,561Scott,213046978
12124,0,0,1414,438,1130,0,3037,0,0.963,3154,0,1,0,140,15,1,0,1,0,14,1,0,human,The1ChiefRocka,450972900
36433,0,0,2823,1948756,75,1,51616,1,12.923,3994,0,0,0,150,17,1,0,1,0,8,0,0,human,eceerken,73392771
8354,0,0,13670,99449,485,1,50241,0,12.356,4066,1,0,1,0,0,0,0,0,0,14,0,0,human,JRabonOfficial,53012043
5832,1,0,25,28,245,0,41,0,0.027,1525,0,1,0,14,2,1,0,0,0,14,0,0,human,caramademedoit,743063090183340032
18888,0,0,24494,234016,210938,0,163192,0,39.533,4128,0,0,0,133,6,0,5,0,0,9,0,0,human,BilleBaty,36832842
33126,1,0,7147,213,0,0,14877,0,5.328,2792,0,1,0,11,2,0,0,0,0,14,3,0,bot,ashleyprice825,1038059556
16846,0,0,1449,283,160,0,18964,0,4.9,3870,0,1,0,85,15,0,0,0,0,10,0,0,human,idoasiroha,104451533
25783,0,0,3436,2167043,179,1,1637,1,0.692,2367,0,0,0,57,9,0,0,0,0,11,0,0,human,matshummels,2359476565
15300,1,0,1064,36,0,0,273,0,0.083,3296,1,1,1,0,0,0,0,0,0,14,1,0,bot,rodrigogrillo2,352429313
14642,1,0,21,2,246,0,43,0,0.013,3283,0,1,0,49,10,0,0,0,0,9,4,0,bot,anita2371,360813660
4228,1,0,490,56,53,1,964,0,0.612,1575,0,0,0,15,3,0,0,5,0,15,0,0,human,LittleeLissette,725065498656923648
21952,0,0,999,1650,796,1,7740,0,1.78,4348,0,0,0,106,10,0,2,2,0,8,0,0,human,NejauNet,16406929
17465,0,0,27353,1794203,619,1,27336,1,6.446,4241,0,1,0,45,7,0,0,0,1,12,0,0,human,AlexGaskarth,18734884
30257,1,0,132,0,0,0,189,0,0.173,1095,0,1,0,15,2,0,0,0,0,11,3,0,human,iqvrowsw539,899119832922071040
10091,0,0,13530,37411,4024,1,11941,1,2.838,4207,0,0,0,146,18,0,2,7,0,12,0,0,human,dublinfringe,20518539
35738,0,0,212,1489,1556,1,6294,0,1.652,3810,0,0,0,143,23,0,0,3,0,12,0,1,human,RockIt_Dance,122933342
29620,0,0,68213,454,367,1,33588,0,11.264,2982,0,1,0,17,3,0,0,0,0,15,0,0,human,lebranthnydames,613099602
27291,1,0,59,4,17,0,31,0,0.011,2839,0,0,0,19,1,0,0,0,0,8,1,0,bot,sakura8y,938666664
8941,0,0,199,249,205,1,1045,0,0.395,2647,0,0,0,37,6,0,0,0,0,8,0,0,human,bebodist,1444214238
9414,0,0,510,2137765,171,0,2727,1,0.687,3971,0,0,0,160,20,6,0,1,0,10,0,0,human,tonyparker,79758113
33413,0,0,8176,320,0,1,7713,0,2.62,2944,0,1,0,100,16,0,0,26,0,11,1,0,bot,SoFiNoemi1D,721653733
27788,1,0,26295,3248,1049,1,14670,0,3.683,3983,0,0,0,120,19,3,0,0,0,15,0,0,human,SFmeteorologist,76478482
18313,0,0,12716,418,245,1,4584,0,1.57,2920,0,0,0,10,2,0,0,0,0,8,1,0,human,caithcs3,770831810
9303,0,0,461,499,335,1,661,0,0.245,2695,0,0,0,77,12,0,0,4,0,13,0,1,human,jrivera_music,1323630564
14438,0,0,1657,7379663,103,1,2,1,0.001,3292,1,1,1,0,0,0,0,0,0,5,0,0,human,lorde,355307031
35704,0,0,20741,17591,12577,0,21685,0,6.242,3474,0,0,0,20,4,0,0,0,0,9,0,0,human,NYmaryann,251645841
14778,0,0,6054,122,226,0,6859,0,1.87,3668,0,0,0,99,14,0,0,0,0,14,0,0,human,backyardyogini,174430150
23110,0,0,3300,2538173,154,1,20776,1,5.065,4102,0,0,0,47,8,0,0,0,0,11,0,0,human,RomarioOnze,42629261
5323,1,0,457,2091,2432,1,2974,0,0.769,3869,0,0,0,122,17,0,0,0,0,13,2,0,bot,4prost8health,104895413
3547,1,0,3431,224,310,0,1829,0,0.67,2731,0,1,0,37,7,0,0,2,0,14,2,0,human,WalkOffBrett21,1220305290
35855,1,0,221,283,87,0,19224,0,6.252,3075,1,1,1,0,0,0,0,0,0,14,0,0,human,FollowYorBliss,528995221
26383,0,0,967,2986410,68,1,168599,1,60.888,2769,0,0,0,131,18,1,0,0,0,10,0,0,bot,DDNewslive,1100927498
36225,1,0,0,10,82,0,2708,0,1.432,1891,0,0,0,17,2,0,0,0,0,9,4,0,human,sadan1984,3246120194
5066,0,0,2656,39,149,0,710,0,0.312,2276,0,0,0,35,6,0,0,0,0,13,0,0,human,octoberkissez,2526055640
5928,0,0,288,60,133,0,332,0,0.116,2870,0,1,0,30,5,0,0,0,0,10,0,1,bot,Michel_DHA,871409005
6675,1,0,5581,45,15,0,306,0,0.169,1813,0,0,0,146,27,0,0,1,0,10,1,0,human,littleoli8,3416570058
962,1,0,3301,14,109,0,2272,0,0.859,2644,0,0,0,49,13,0,0,0,0,9,0,0,human,TuckerAng,1453070640
10431,1,0,2443,169,181,0,5802,0,2.291,2533,0,1,0,150,27,0,0,0,0,15,2,0,human,PropheticDr34ms,1855266734
37407,0,0,8043,615,454,1,11771,0,4.81,2447,0,1,0,77,12,0,0,0,3,7,0,1,human,fra_din,2234253145
26081,1,0,621,264,351,0,4548,0,2.231,2039,1,1,1,0,0,0,0,0,0,9,0,0,bot,allylardo,2983905783
2481,0,0,11342,3035,3242,0,2529,1,0.644,3928,0,0,0,119,14,0,0,2,0,11,0,0,human,JoshBoschee,90456908
24887,1,0,1234,44,96,0,1867,0,0.465,4016,1,1,1,0,0,0,0,0,0,15,0,0,human,whatupimcoolman,67545285
19676,0,0,28017,157154,662,1,18292,0,7.946,2302,1,0,1,0,0,0,0,0,0,15,0,2,human,sabrina_nellie_,2471631350
32628,0,0,2600,21254,2062,1,88900,1,21.837,4071,0,0,0,153,18,1,0,0,0,7,1,0,human,ssalga1,51346066
11664,1,0,135335,1638,3097,0,62559,0,52.394,1194,0,0,0,108,17,0,0,1,0,14,0,0,human,notimetobehere,863313000714956800
5059,1,0,4252,4,153,0,3420,0,3.356,1019,0,0,0,48,7,0,0,0,0,9,0,0,bot,GPettella,926532287675731976
34574,0,0,4657,6237,1570,1,54203,0,12.89,4205,0,0,0,148,19,2,1,0,0,14,0,0,human,ACPressMelhorn,20688698
31430,0,0,4840,357,1132,0,2515,0,0.714,3523,0,0,0,110,13,0,0,0,0,10,0,0,human,AMFilomena,230906479
4783,0,0,40527,1312,989,0,93128,0,35.076,2655,0,0,0,100,12,0,1,0,0,15,2,0,bot,ChrisJeffries24,1424000143
7806,0,0,549,1399,1167,1,10057,0,2.784,3612,0,0,0,118,20,0,0,0,0,10,0,1,human,GloriaSol_,196400923
16185,0,0,5888,33,124,1,3503,0,0.855,4095,0,0,0,78,12,0,0,1,0,15,0,0,human,HurricaneMarian,44154169
9910,1,0,1600,3,0,0,2256,0,1.044,2160,1,1,1,0,0,0,0,0,0,13,0,0,bot,EskorbutinFTW,2820739278
27908,1,0,57,1,0,0,129,0,0.089,1444,0,1,0,64,12,0,0,0,0,10,0,0,human,MetalMaren,772509220335910912
13807,0,0,60,50706,168,0,556,1,0.132,4207,0,0,0,45,4,1,0,1,0,13,0,0,human,ThisIsCaliLuv,20544726
12476,0,0,35108,1324,1324,0,2734,0,0.844,3241,0,0,0,133,13,0,8,4,1,14,4,1,human,megs_kelly3148,385177512
7816,0,0,4267,104,1154,0,1428,0,0.656,2178,0,1,0,88,18,0,0,10,0,9,5,0,bot,emme03102,2758858600
21804,1,0,2709,44,411,1,1343,0,0.343,3917,1,1,1,0,0,0,0,0,0,10,0,0,human,FerMelinda,92951848
2615,0,0,4657,1200461,405,0,11173,1,2.696,4144,0,0,0,120,16,0,0,0,0,12,0,0,human,JackCanfield,31213362
24628,1,0,2396,13,15,0,3254,0,1.253,2598,1,1,1,0,0,0,0,0,0,9,0,0,bot,MakeuPill,1579065750
32208,0,0,10637,1909495,282,1,11799,1,2.82,4184,0,0,1,10,1,0,0,0,0,11,0,0,human,HelloImLana,23031648
6767,0,0,596,15,28,0,108,0,0.032,3395,1,1,1,0,0,0,0,0,0,12,4,0,bot,avelezjr1191,292600561
27752,1,0,1553,9,144,0,2109,0,1.235,1708,1,1,1,0,0,0,0,0,0,11,6,0,bot,tiger863699,4573034258
20803,0,0,2632,1508756,1719,1,112486,1,46.675,2410,0,0,0,142,14,0,1,5,0,7,0,0,bot,PODEMOS,2288138575
1654,0,0,1264,22,88,1,3449,0,0.898,3841,0,0,0,41,8,0,0,0,0,7,2,1,human,my_b16a,113519733
37094,1,0,2193,29,0,0,3129,0,1.103,2838,0,1,0,103,17,0,0,2,3,15,5,0,bot,1DLiamPayne9140,939521726
10833,1,0,18,11,10,0,37,0,0.038,967,0,1,0,2,1,0,0,0,0,11,0,0,bot,batuhandncc,945270067847188481
28510,1,0,1420,1138482,555,1,965,1,0.238,4052,0,0,0,58,10,0,0,0,0,7,0,0,human,edhelms,57084769
11829,1,0,1365,0,0,0,1366,0,1.108,1233,1,1,1,0,0,0,0,0,0,15,5,0,bot,K3r1HFcX1RG2tr8,849130793553330176
17271,0,0,13337,3204,671,0,26004,0,5.789,4492,0,1,0,96,11,0,0,0,0,10,0,1,human,kelli_owen,14613023
1847,0,0,4587,22,384,0,2497,0,0.959,2603,0,0,0,109,20,0,0,0,0,11,4,0,human,YunFang1130,1566847392
34954,1,0,83,0,0,0,165,0,0.114,1445,0,1,0,20,3,0,0,0,0,10,0,0,human,PetitVenom,772223975665573890
6010,0,0,23408,1363,897,1,24183,0,9.472,2553,0,0,0,41,4,0,1,4,0,12,0,0,human,KratosLiving,1692182468
35743,1,0,766,28,73,0,134,0,0.183,732,0,0,0,61,10,0,0,2,0,7,0,0,human,LJxBaby,1030692350597652481
33168,1,0,134,0,0,0,190,0,0.173,1101,0,1,0,16,2,0,0,0,0,12,3,0,human,igcnjthpl585,896882302852222976
30822,0,0,2139,65188,172,1,6104,1,1.478,4129,0,0,0,154,22,0,0,0,0,14,0,0,human,CityOfFriscoTx,36391088
14076,0,0,2624,3849,1109,1,9399,1,5.471,1718,0,0,0,115,20,0,0,3,1,7,0,0,human,REVRYTV,4468081633
17842,1,0,2080,25,65,0,2876,0,0.895,3212,0,0,0,26,3,0,0,0,0,10,1,0,bot,deeznutz3t,403827153
5008,0,0,1018,6528089,7304,1,23510,1,5.437,4324,0,0,0,8,2,0,0,0,0,12,0,0,human,DwightHoward,16812787
35391,1,0,153,3,0,0,34,0,0.014,2400,0,0,0,54,8,0,0,0,1,10,0,1,bot,zhuzhu_orz,2298726172
30218,0,0,4345,77,161,1,2911,0,0.981,2968,0,0,1,7,1,0,0,0,0,14,0,1,human,The_RealGhandi,625948880
17683,0,0,15551,239,292,0,469,0,0.262,1793,0,0,0,53,9,0,1,2,0,11,0,2,human,yasmiiine__,3643139473
14003,0,0,228863,394475,91997,1,530040,0,118.976,4455,0,0,0,159,24,0,2,0,0,14,0,1,bot,geoff_deweaver,15040988
5229,1,0,13579,269,103,1,8251,0,2.607,3165,0,0,0,123,1,0,13,0,0,12,0,0,human,blackirishry,441225519
22246,0,0,2031,1908,567,0,1694,1,0.952,1779,0,0,0,64,10,1,0,0,0,13,0,0,human,somogettynews,3871760723
36407,0,0,2153,1438209,7819,1,103000,1,24.373,4226,0,0,0,86,13,1,0,0,0,5,0,0,human,Yahoo,19380829
32675,0,0,62183,11286,12105,0,13913,0,3.36,4141,0,1,0,50,3,0,2,4,0,13,0,2,human,_Kelly_Nugent,32734193
27131,1,0,32739,207,1055,1,3981,0,1.165,3417,0,0,0,101,13,0,0,0,0,13,0,0,human,nickbrushaber,280684204
36654,0,0,12,285697,1085,0,24781,1,6.027,4112,0,0,0,88,12,1,0,2,0,14,0,0,human,AFFIONCROCKETT,40626514
21341,0,0,36391,716,557,1,22744,0,8.674,2622,0,0,0,6,1,0,0,0,0,9,0,0,human,getitdess,1517701267
2309,0,0,12535,4043,4323,1,1200,0,0.329,3645,0,0,0,116,13,0,3,0,0,11,0,0,human,holdenwhite,183516837
17102,0,0,269,94206,451,1,37043,1,9.795,3782,0,1,0,125,14,3,0,0,0,12,1,0,human,KarlaPineda1,131978635
24036,0,0,19,1244535,2937,1,86499,1,20.205,4281,0,0,0,86,12,0,0,1,0,10,0,0,human,PFTompkins,17732153
5129,1,0,2333,126505,1030,1,8298,0,2.066,4017,0,0,0,131,17,0,0,0,0,13,1,0,human,Dayod1adeneye,67145296
26109,0,0,20,67,0,0,112,0,0.035,3225,0,0,0,127,20,0,0,4,0,15,0,1,human,Nicole_Kempster,394971766
31415,1,0,1159,38,153,0,1739,0,0.661,2629,0,0,0,26,3,0,0,0,0,11,0,0,bot,LifeLikeLui,1490770429
32285,0,0,2153,2549,1261,1,6167,1,1.871,3296,0,0,0,154,22,0,3,0,0,11,0,0,human,MCastroWHIO,352547168
22111,1,0,208,5,0,0,40,0,0.023,1774,0,1,0,75,8,0,0,2,0,10,2,0,bot,rocco32bit,3920518516
5394,0,0,4930,256,250,1,4978,0,4.805,1036,0,1,0,26,4,0,0,0,0,13,0,0,human,emiilyelaiine,920524079211347969
1172,0,0,5574,169753,2790,1,23140,1,5.932,3901,0,0,0,139,22,0,0,0,0,9,0,0,human,ArabNetME,96738962
4627,1,0,1536,4,0,0,2168,0,0.586,3700,1,1,1,0,0,0,0,0,0,11,0,0,bot,thebonetone,162299910
29610,1,0,48,23,20,0,521,0,0.407,1280,0,0,0,79,11,0,0,0,0,15,2,0,bot,N2nCaVQMlrOu0da,832019900654817280
4458,1,0,8660,1346,147,0,17450,0,4.863,3588,0,1,0,155,21,0,0,0,0,11,0,0,human,JustSignals,206338797
16083,0,0,0,743,506,0,1692,0,0.438,3865,0,0,0,165,27,0,0,11,2,9,1,0,bot,pooltown1,106281577
7136,1,0,216,442,526,0,8728,0,3.108,2808,0,0,0,134,14,1,0,2,0,12,0,0,human,ktroyerphoto,1001964626
21077,0,0,48312,624,706,1,14358,0,17.858,804,0,0,0,19,4,0,0,0,0,9,0,0,human,cararosss,1004423026027520001
7987,0,0,1540,16459,1181,0,28347,0,6.426,4411,0,0,0,98,12,1,1,0,0,13,0,0,bot,CreditExperts,15522756
21083,1,0,164,40,1114,1,3361,0,1.187,2832,0,1,0,24,1,0,0,9,0,11,2,0,human,anikanova13,952254780
21729,1,0,118,2,0,0,24,0,0.009,2583,0,1,0,35,4,0,0,2,0,10,4,0,bot,mrpepi2011,1616007955
21862,0,0,67,748,465,0,2513,0,0.695,3617,0,0,0,140,19,0,0,0,0,15,0,0,bot,IndianaRegional,194139854
1461,1,0,131,0,0,0,269,0,0.186,1445,0,1,0,155,21,0,0,0,0,12,0,0,human,RebbecaLevel,772035618704617472
4603,0,0,1923,31,0,0,2181,0,0.894,2440,0,0,0,86,13,0,0,0,0,11,0,0,bot,LensRealitp,2244247435
19731,1,0,758,36,73,1,3192,0,1.215,2628,0,0,0,46,10,0,0,0,0,11,4,0,human,ilucero1028,1493834582
33580,0,0,15734,581645,1708,1,87544,1,22.214,3941,0,0,0,160,22,2,0,0,0,13,0,0,human,HOLLMANMORRIS,87266285
33161,0,0,0,852,0,0,666041,0,178.803,3725,0,1,0,66,1,0,0,3,0,11,0,1,bot,ceek_sports,153323842
20194,1,0,23,98,0,0,64,0,0.028,2282,0,1,0,97,16,0,0,0,0,14,2,0,bot,TransferNews42,2555521162
9292,1,0,841,1,2,0,1149,0,0.315,3645,1,0,1,0,0,0,0,0,0,12,1,0,bot,brandonall3n,183304092
18326,1,0,5,3369406,429,1,10930,1,4.103,2664,0,1,0,22,1,0,0,0,0,12,0,0,human,hentaimimura,1401550368
35354,0,0,52663,26412,3848,1,85879,1,25.514,3366,0,0,0,61,11,0,0,0,0,11,1,0,human,allywalker1,309315112
7300,1,0,2328,1125,2037,1,2952,0,1.052,2806,0,0,0,144,16,0,6,0,0,13,0,0,human,chefgretchenh,1007995082
28591,0,0,175,5,0,0,37,0,0.01,3818,0,0,0,52,8,0,0,0,0,5,0,0,bot,pbrig,120524196
19258,0,0,16879,823,4648,1,35156,0,8.631,4073,0,0,0,160,27,0,0,0,2,14,0,0,human,GRADYFISHINSEA,50466609
16583,0,0,2038,38,88,1,2920,0,1.02,2862,1,0,1,0,0,0,0,0,0,10,2,0,bot,kasiakas94,887211962
